STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :ميل/س
STR_UNIT_NAME_VELOCITY_METRIC                                   :كم/س
STR_UNIT_NAME_VELOCITY_SI                                       :م/ث
STR_UNIT_NAME_VELOCITY_GAMEUNITS                                :مربعات/ اليوم

STR_BUTTON_RENAME                                               :{BLACK}اعادة تسمية

STR_VEHICLE_TYPE_TRAINS                                         :قطارات
STR_VEHICLE_TYPE_ROAD_VEHICLES                                  :عربات
STR_VEHICLE_TYPE_SHIPS                                          :سفن
STR_VEHICLE_TYPE_AIRCRAFT                                       :طائرات

STR_CONFIG_SETTING_AUTOSAVE                                     :حفظ تلقائي : {STRING}
STR_CONFIG_SETTING_AUTOSAVE_HELPTEXT                            :اختر الوقت بين كل عملية حفظ اتوماتيكية

STR_CONFIG_SETTING_TIMETABLE_IN_TICKS                           :عرض جدولة الأعمال بالمهام بدلا من الأيام: {STRING}

STR_TRANSPARENT_LOADING_TOOLTIP                                 :{BLACK}غير الشفافية لنسبة التحميل. مفتاح كنترول للاغلاق.

# Tracerestrict GUI

# Programmable Pre-Signals

#House construction window (for SE only)

#Town select window (for SE only)

STR_MAPGEN_SNOW_LINE_HEIGHT                                     :{BLACK} ارتفاع خط الثلج
STR_MAPGEN_SNOW_LINE_UP                                         :{BLACK}ارفع خط الثلج مستوى واحد
STR_MAPGEN_SNOW_LINE_DOWN                                       :{BLACK}خفض خط الثلج مستوى واحد
STR_MAPGEN_SNOW_LINE_QUERY_CAPT                                 :{WHITE}غير مستوى خط الثلج

# Town tooltip

STR_PURCHASE_INFO_DESIGNED                                      :{BLACK}تصميم: {GOLD}{NUM}

STR_VEHICLE_STATUS_TRAIN_STOPPING_VEL_END                       :{RED}يتوقف , {VELOCITY}
STR_VEHICLE_STATUS_HEADING_FOR_STATION_VEL_END                  :{LTBLUE}تتوجة الى {STATION}, {VELOCITY}
STR_VEHICLE_STATUS_NO_ORDERS_VEL_END                            :{LTBLUE}لا يوجد اوامر وجهات , {VELOCITY}
STR_VEHICLE_STATUS_HEADING_FOR_WAYPOINT_VEL_END                 :{LTBLUE}متوجه ل {WAYPOINT}, {VELOCITY}
STR_VEHICLE_STATUS_HEADING_FOR_DEPOT_VEL_END                    :{ORANGE}يتوجة الى {DEPOT} , {VELOCITY}
STR_VEHICLE_STATUS_HEADING_FOR_DEPOT_SERVICE_VEL_END            :{LTBLUE}الصيانة في {DEPOT} , {VELOCITY}
STR_VEHICLE_STATUS_CANNOT_REACH_DEPOT_VEL_END                   :{ORANGE}لا يمكن الوصول إلى {DEPOT}, {VELOCITY}

STR_ORDERS_GO_TO_TOOLTIP_EXTRA                                  :{BLACK}اضافة امر قبل الامر المختار, او لاخر الاوامر

STR_TIMETABLE_ARRIVAL_ABBREVIATION                              :و:
STR_TIMETABLE_DEPARTURE_ABBREVIATION                            :م:

# Cargo type orders Window

# Plans window

# Clear area query

# Plan related errors

STR_TRADITIONAL_TRAIN_NAME                                      :قطار {COMMA}
STR_TRADITIONAL_ROAD_VEHICLE_NAME                               :عربة {COMMA}
STR_TRADITIONAL_SHIP_NAME                                       :سفينة {COMMA}
STR_TRADITIONAL_AIRCRAFT_NAME                                   :طائرة {COMMA}

# Scheduled Dispatch

# Modifier key toggle window

STR_CONFIG_SETTING_ALLOW_SHARES                                 :السماح بشراء حصص من الشركات الاخرى: {STRING}
STR_CONFIG_SETTING_ALLOW_SHARES_HELPTEXT                        :عند التمكين ، السماح بشراء وبيع أسهم الشركة. ستكون الأسهم متاحة فقط للشركات التي بلغت سنًا معينة

STR_COMPANY_VIEW_SHARES_OWNED_BY                                :{WHITE}( {COMMA}% مملوكة بواسطة {COMPANY})

STR_COMPANY_VIEW_BUY_SHARE_BUTTON                               :{BLACK}اشتري 25% من أسهم الشركة
STR_COMPANY_VIEW_SELL_SHARE_BUTTON                              :{BLACK}بيع 25% من أسهم الشركة
STR_COMPANY_VIEW_BUY_SHARE_TOOLTIP                              :{BLACK}اشتري 25% من اسهم هذه الشركة, + مفتاح الاعلى لاظهار التكلفه
STR_COMPANY_VIEW_SELL_SHARE_TOOLTIP                             :{BLACK}بيع 25% من اسهم هذه الشركة

STR_ERROR_CAN_T_BUY_25_SHARE_IN_THIS                            :{WHITE}لا يمكن شراء 25% من اسهم الشركة ...
STR_ERROR_CAN_T_SELL_25_SHARE_IN                                :{WHITE}لا يمكن بيع 25% من اسهم الشركة ...
STR_ERROR_PROTECTED                                             :{WHITE}هذه الشركة ليست عريقة بقدر كافي لمشاركة الأسهم ...

STR_CONFIG_SETTING_CYCLE_SIGNAL_PBS                             :اشارات الطريق فقط
