STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :міль/г
STR_UNIT_NAME_VELOCITY_METRIC                                   :км/г
STR_UNIT_NAME_VELOCITY_SI                                       :м/с

STR_BUTTON_RENAME                                               :{BLACK}Перайменаваць

STR_VEHICLE_TYPE_TRAINS                                         :Цыгнікі
STR_VEHICLE_TYPE_ROAD_VEHICLES                                  :Аўтатранспарт
STR_VEHICLE_TYPE_SHIPS                                          :Караблі
STR_VEHICLE_TYPE_AIRCRAFT                                       :Авіятранспарт

# Tracerestrict GUI

# Programmable Pre-Signals

#House construction window (for SE only)

#Town select window (for SE only)

STR_MAPGEN_SNOW_LINE_HEIGHT                                     :{BLACK}Вышыня сьнегавой лініі:
STR_MAPGEN_SNOW_LINE_UP                                         :{BLACK}Падняць сьнегавую лінію
STR_MAPGEN_SNOW_LINE_DOWN                                       :{BLACK}Апусьціць сьнегавую лінію
STR_MAPGEN_SNOW_LINE_QUERY_CAPT                                 :{WHITE}Зьмяніць вышыню сьнегавой лініі

# Town tooltip

STR_PURCHASE_INFO_DESIGNED                                      :{BLACK}Распрацаваны ў {GOLD}{NUM} г.

# Cargo type orders Window

# Plans window

# Clear area query

# Plan related errors

STR_TRADITIONAL_TRAIN_NAME                                      :Цягнiк {COMMA}
STR_TRADITIONAL_ROAD_VEHICLE_NAME                               :Аўтамабiль {COMMA}
STR_TRADITIONAL_SHIP_NAME                                       :Карабель {COMMA}
STR_TRADITIONAL_AIRCRAFT_NAME                                   :Самалёт {COMMA}

# Scheduled Dispatch

# Modifier key toggle window
