STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :mph
STR_UNIT_NAME_VELOCITY_METRIC                                   :km/h
STR_UNIT_NAME_VELOCITY_SI                                       :m/s

STR_BUTTON_RENAME                                               :{BLACK}Alinomi

STR_VEHICLE_TYPE_TRAINS                                         :Trajnoj
STR_VEHICLE_TYPE_ROAD_VEHICLES                                  :Stratveturiloj
STR_VEHICLE_TYPE_SHIPS                                          :Ŝipoj
STR_VEHICLE_TYPE_AIRCRAFT                                       :Aviadiloj

# Tracerestrict GUI

# Programmable Pre-Signals

#House construction window (for SE only)

#Town select window (for SE only)

STR_MAPGEN_SNOW_LINE_HEIGHT                                     :{BLACK}Neĝlinia alteco:
STR_MAPGEN_SNOW_LINE_UP                                         :{BLACK}Altigu la neĝlinion per unu
STR_MAPGEN_SNOW_LINE_DOWN                                       :{BLACK}Malaltigu la neĝlinion per unu
STR_MAPGEN_SNOW_LINE_QUERY_CAPT                                 :{WHITE}Ŝanĝu altecon de la neĝlinio

# Town tooltip

STR_PURCHASE_INFO_DESIGNED                                      :{BLACK}Pripensite: {GOLD}{NUM}

# Cargo type orders Window

# Plans window

# Clear area query

# Plan related errors

STR_TRADITIONAL_TRAIN_NAME                                      :Trajno {COMMA}
STR_TRADITIONAL_ROAD_VEHICLE_NAME                               :Stratveturilo {COMMA}
STR_TRADITIONAL_SHIP_NAME                                       :Ŝipo {COMMA}
STR_TRADITIONAL_AIRCRAFT_NAME                                   :Aviadilo {COMMA}

# Scheduled Dispatch

# Modifier key toggle window
