STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :mph
STR_UNIT_NAME_VELOCITY_METRIC                                   :km/h
STR_UNIT_NAME_VELOCITY_SI                                       :m/s
STR_UNIT_NAME_VELOCITY_GAMEUNITS                                :pola/dzień

STR_BUTTON_RENAME                                               :{BLACK}Zmień nazwę

STR_VEHICLE_TYPE_TRAINS                                         :Pociągi
STR_VEHICLE_TYPE_ROAD_VEHICLES                                  :Samochody i tramwaje
STR_VEHICLE_TYPE_SHIPS                                          :Statki
STR_VEHICLE_TYPE_AIRCRAFT                                       :Samoloty

STR_LINKGRAPH_STATS_TOOLTIP_TIME_EXTENSION_GENERAL              :{}Średni czas podróży: {STRING}
STR_LINKGRAPH_STATS_TOOLTIP_CAPACITY                            :{}Ładowność: {CARGO_LONG}

# Tracerestrict GUI

# Programmable Pre-Signals

#House construction window (for SE only)

#Town select window (for SE only)

STR_MAPGEN_SNOW_LINE_HEIGHT                                     :{BLACK}Śnieg od wysokości:
STR_MAPGEN_SNOW_LINE_UP                                         :{BLACK}Podnieś wysokość śniegu o jeden w górę
STR_MAPGEN_SNOW_LINE_DOWN                                       :{BLACK}Obniż wysokość śniegu o jeden w dół
STR_MAPGEN_SNOW_LINE_QUERY_CAPT                                 :{WHITE}Zmień wysokość linii śniegowej

# Town tooltip

STR_PURCHASE_INFO_DESIGNED                                      :{BLACK}Zaprojektowany: {GOLD}{NUM}

# Cargo type orders Window

# Plans window

# Clear area query

# Plan related errors

STR_TRADITIONAL_TRAIN_NAME                                      :Pociąg {COMMA}
STR_TRADITIONAL_ROAD_VEHICLE_NAME                               :Pojazd {COMMA}
STR_TRADITIONAL_SHIP_NAME                                       :Statek {COMMA}
STR_TRADITIONAL_AIRCRAFT_NAME                                   :Samolot {COMMA}

# Scheduled Dispatch

# Modifier key toggle window
