STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :mph
STR_UNIT_NAME_VELOCITY_METRIC                                   :km/h
STR_UNIT_NAME_VELOCITY_SI                                       :m/s
STR_UNIT_NAME_VELOCITY_GAMEUNITS                                :quadrados/dia

STR_BUTTON_RENAME                                               :{BLACK}Renomear

STR_VEHICLE_TYPE_TRAINS                                         :Comboios
STR_VEHICLE_TYPE_ROAD_VEHICLES                                  :Veículos Rodoviários
STR_VEHICLE_TYPE_SHIPS                                          :Navios
STR_VEHICLE_TYPE_AIRCRAFT                                       :Aeronaves

STR_LINKGRAPH_STATS_TOOLTIP_TIME_EXTENSION_GENERAL              :{}Tempo médio de viagem: {STRING}
STR_LINKGRAPH_STATS_TOOLTIP_CAPACITY                            :{}Capacidade: {CARGO_LONG}

# Tracerestrict GUI

# Programmable Pre-Signals

#House construction window (for SE only)

#Town select window (for SE only)

STR_MAPGEN_SNOW_LINE_HEIGHT                                     :{BLACK}Altura linha neve:
STR_MAPGEN_SNOW_LINE_UP                                         :{BLACK}Mover a linha de neve um nível acima
STR_MAPGEN_SNOW_LINE_DOWN                                       :{BLACK}Mover a linha de neve um nível abaixo
STR_MAPGEN_SNOW_LINE_QUERY_CAPT                                 :{WHITE}Mudar a altura da linha de neve

# Town tooltip

STR_PURCHASE_INFO_DESIGNED                                      :{BLACK}Concebido: {GOLD}{NUM}

# Cargo type orders Window

# Plans window

# Clear area query

# Plan related errors

STR_TRADITIONAL_TRAIN_NAME                                      :Comboio {COMMA}
STR_TRADITIONAL_ROAD_VEHICLE_NAME                               :Veículo Rodoviário {COMMA}
STR_TRADITIONAL_SHIP_NAME                                       :Navio {COMMA}
STR_TRADITIONAL_AIRCRAFT_NAME                                   :Aeronave {COMMA}

# Scheduled Dispatch

# Modifier key toggle window
