STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :Превосходный

STR_CONFIG_SETTING_TREE_PLACER_HELPTEXT_EXTRA                   :{STRING} «Превосходный» улучшает распределение и группировку

STR_FINANCES_SECTION_INFRASTRUCTURE_COSTS                       :{GOLD}Совместное использование инфраструктуры
STR_FINANCES_SECTION_INFRASTRUCTURE_INCOME                      :{GOLD}Совместное использование инфраструктуры

STR_CONFIG_SETTING_DISTRIBUTION_ASYMMETRIC_EQ                   :асимметричное (равномерное распределение)
STR_CONFIG_SETTING_DISTRIBUTION_ASYMMETRIC_NEAREST              :асимметричное (ближайшее)

STR_CONFIG_SETTING_ZOOM_LVL_OUT_16X                             :16x
STR_CONFIG_SETTING_ZOOM_LVL_OUT_32X                             :32x
STR_CONFIG_SETTING_ZOOM_LVL_OUT_64X                             :64x
STR_CONFIG_SETTING_ZOOM_LVL_OUT_128X                            :128x

STR_CONFIG_SETTING_DEFAULT_ROAD_TYPE_DEFAULT                    :По умолчанию

STR_ORDER_CONDITIONAL_CARGO_WAITING                             :Доступный груз
STR_ORDER_CONDITIONAL_ACCEPTANCE_DROPDOWN                       :Принятый груз
STR_ORDER_CONDITIONAL_FREE_PLATFORMS                            :Свободные платформы
STR_ORDER_CONDITIONAL_PERCENT                                   :Процент случаев
STR_ORDER_CONDITIONAL_SLOT_OCCUPANCY                            :Заполненность слотов
STR_ORDER_CONDITIONAL_TRAIN_IN_SLOT                             :Поезд в слоте
STR_ORDER_CONDITIONAL_CARGO_LOAD_PERCENTAGE                     :Процент загрузки груза
STR_ORDER_CONDITIONAL_CARGO_WAITING_AMOUNT                      :Количество доступного груза
STR_ORDER_CONDITIONAL_COUNTER_VALUE                             :Значение счётчика
STR_ORDER_CONDITIONAL_TIME_DATE_VALUE                           :Текущее время/дата
STR_ORDER_CONDITIONAL_TIMETABLE_STATE                           :Состояние расписания
STR_ORDER_CONDITIONAL_DISPATCH_SLOT                             :Диспетчерский слот

STR_ORDER_STOP_LOCATION_THROUGH                                 :[через нагрузку]

STR_CONFIG_SETTING_TOWN_GROWTH_EXTREME_SLOW                     :крайне низкая
STR_CONFIG_SETTING_TOWN_GROWTH_VERY_SLOW                        :очень низкая

STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_EVERY_MINUTES_CUSTOM         :Каждые {COMMA}{NBSP}минут{P 0 а ы ""}

STR_RIVERS_VERY_MANY                                            :{RED}Очень большое
STR_RIVERS_EXTREMELY_MANY                                       :{RED}Крайне большое

STR_CONFIG_SETTING_BRIBE_HELPTEXT_PERIODS                       :Разрешить компаниям подкупать городскую администрацию. Если взятка будет замечена инспектором, компания не сможет действовать в городе в течение полугода.

STR_CONFIG_SETTING_ALLOW_EXCLUSIVE_HELPTEXT_PERIODS              :Если компания покупает эксклюзивные права на перевозку в городе, станции соперников (пассажирские и грузовые) не будут получать грузы в течение одного периода.

STR_COMMA_SEPARATOR                                             :,{SP}

STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :миль/ч
STR_UNIT_NAME_VELOCITY_METRIC                                   :км/ч
STR_UNIT_NAME_VELOCITY_SI                                       :м/с
STR_UNIT_NAME_VELOCITY_GAMEUNITS                                :клеток/день
STR_UNIT_NAME_VELOCITY_GAMEUNITS_WALLCLOCK                      :клеток/сек

STR_UNITS_SECONDS_SHORT                                         :{COMMA}{NBSP}с
STR_UNITS_PRODUCTION_INTERVALS                                  :{NUM}{NBSP}интервал{P "" а ов} производства

STR_BUTTON_RENAME                                               :{BLACK}Переименовать

STR_MEASURE_DIST_HEIGHTDIFF                                     :{BLACK}Манхэттенское расстояние: {NUM}{}Расстояние по прямой: {NUM}{}Расстояние от ближайшего края: {NUM}{}Высота над уровнем моря: {HEIGHT}{}Разница высот: {HEIGHT}

STR_SORT_BY_PROFIT_LIFETIME                                     :Пожизненная прибыль
STR_SORT_BY_AVG_ORDER_OCCUPANCY                                 :Средняя наполняемость заказа
STR_SORT_BY_MAX_SPEED_LOADED                                    :Максимальная скорость (при полной загрузке)
STR_SORT_BY_VEHICLES_CALLING                                    :Количество вызываемых транспортных средств
STR_SORT_BY_CARGO_CAPACITY_VS_RUNNING_COST                      :Вместимость/Стоимость обслуживания
STR_SORT_BY_VEHICLE_COUNT                                       :Количество транспортных средств

STR_SETTINGS_MENU_ZONING                                        :Зонирование

STR_SETTINGS_MENU_MONEY_TEXT_EFFECTS                            :Отображение текстов о доходах/расходах
STR_SETTINGS_MENU_SHOW_HIDDEN_SIGNS                             :Скрытые знаки и отображаемые имена

STR_MAP_MENU_PLAN_LIST                                          :Список планов

STR_VEHICLE_TYPE_TRAINS                                         :Ж/д транспорт
STR_VEHICLE_TYPE_ROAD_VEHICLES                                  :Автотранспорт
STR_VEHICLE_TYPE_SHIPS                                          :Водный транспорт
STR_VEHICLE_TYPE_AIRCRAFT                                       :Авиатранспорт

STR_GRAPH_CARGO_PAYMENT_RATES_X_LABEL_SPEED                     :{TINY_FONT}{BLACK}Средняя скорость доставки ({STRING})
STR_GRAPH_CARGO_PAYMENT_RATES_TITLE_AVG_SPEED                   :{TINY_FONT}{BLACK}Оплата за доставку 1 единицы (или 1000 литров) груза на расстояние 200 квадратов
STR_GRAPH_CARGO_PAYMENT_RATES_X_LABEL_MINUTES                   :{TINY_FONT}{BLACK}Минут в пути
STR_GRAPH_STATION_CARGO_CAPTION                                 :{WHITE}{STATION} - История доступного груза
STR_GRAPH_STATION_CARGO_X_LABEL_DAYS                            :{TINY_FONT}{BLACK}Развитие за последние {NUM} дней
STR_GRAPH_STATION_CARGO_X_LABEL_SECONDS                         :{TINY_FONT}{BLACK}Развитие за последние {NUM} секунд
STR_GRAPH_STATION_CARGO_TITLE                                   :{TINY_FONT}{BLACK}Единицы груза, доступные на станции

STR_GRAPH_CARGO_SPEED_MODE                                      :{TINY_FONT}{BLACK}Средняя скорость
STR_GRAPH_CARGO_TOOLTIP_TIME_MODE                               :{BLACK}Отображение времени в пути на оси X графика
STR_GRAPH_CARGO_TOOLTIP_SPEED_MODE                              :{BLACK}Отображение средней скорости движения на оси X графика

STR_GRAPH_DELIVERED_CARGO_BY_COMPANY_MODE                       :{TINY_FONT}{BLACK}Компании
STR_GRAPH_DELIVERED_CARGO_BY_CARGO_MODE                         :{TINY_FONT}{BLACK}Грузы
STR_GRAPH_DELIVERED_CARGO_BY_COMPANY_MODE_TOOLTIP               :{BLACK}Отображение одной строки для каждой выбранной компании
STR_GRAPH_DELIVERED_CARGO_BY_CARGO_MODE_TOOLTIP                 :{BLACK}Отображение одной строки для каждого выбранного груза

STR_GRAPH_LAST_72_PRODUCTION_INTERVALS_TIME_LABEL               :{TINY_FONT}{BLACK}Последние 72 производственных интервала

STR_SMALLMAP_SCREENSHOT                                         :{BLACK}Скриншот

STR_NEWS_VEHICLE_NO_DEPOT_ORDER                                 :{WHITE}{VEHICLE} не имеет задания на посещение депо в своём расписании
STR_NEWS_TRAIN_OVERSHOT_STATION                                 :{WHITE}{VEHICLE} не смог остановиться в {STRING} из-за чрезмерной скорости

STR_NEWS_ROAD_REBUILDING_PERIODS                                :{BIG_FONT}{BLACK}Дорожный хаос в городе {TOWN}!{}{}Программа реконструкции дорог, профинансированая компанией {STRING} принесёт автомобилистам полгода страданий!
STR_NEWS_EXCLUSIVE_RIGHTS_DESCRIPTION_PERIOD                    :{BIG_FONT}{BLACK}Администрация города {TOWN} подписала контракт с компанией {STRING} на 1 период эксклюзивных транспортных прав!

STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_EVERY_MINUTES_CUSTOM_LABEL   :Пользовательский интервал (минуты реального времени)
STR_GAME_OPTIONS_AUTOSAVE_MINUTES_QUERY_CAPT                    :{WHITE}Интервал автосохранения в минутах реального времени

STR_CONFIG_SETTING_ADVISED_LEAVE_DEFAULT                        :Рекомендуется оставить это значение по умолчанию.

STR_CONFIG_SETTING_TRAIN_BRAKING_REALISTIC                      :реалистичное {PUSH_COLOUR}{RED}(эксперт){POP_COLOUR}
STR_CONFIG_SETTING_TRAIN_BRAKING_ASPECT_LIMITED_ON              :На {PUSH_COLOUR}{RED}(Эксперт, Сложно){POP_COLOUR}

STR_CONFIG_SETTING_REALISTIC_BRAKING_SIGNALS_NOT_ALLOWED        :{WHITE}Реалистичное торможение не может быть включено. Присутствует хотя бы один предварительный или двусторонний сигнал.

STR_CONFIG_SETTING_DELIVERY_BALANCED                            :сбалансированное

STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT                       :Эксплуатационные расходы на транспортные средства в депо: {STRING}
STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT_HELPTEXT              :Установить уровень затрат на техническое обслуживание и эксплуатацию транспортных средств в ожидании в депо (без остановок)
STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT_VALUE                 :1 / {COMMA}

STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED                   :Эксплуатационные расходы неподвижных транспортных средств: {STRING}
STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED_HELPTEXT          :Установить уровень расходов на техническое обслуживание и эксплуатацию транспортных средств, когда они стоят на месте, но не находятся в депо
STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED_VALUE             :1 / {COMMA}

STR_CONFIG_SETTING_MONEY_CHEAT_MULTIPLAYER                      :Позволить многопользовательским клиентам использовать чит на деньги: {STRING}
STR_CONFIG_SETTING_MONEY_CHEAT_MULTIPLAYER_HELPTEXT             :Если эта функция включена, то многопользовательские клиенты, не являющиеся администраторами, смогут использовать чит на деньги. Он всегда доступен в режиме одиночной игры и для администратора многопользовательского сервера.

STR_CONFIG_SETTING_RENAME_TOWNS_MULTIPLAYER                     :Позволить многопользовательским клиентам переименовывать города: {STRING}
