STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :完善

STR_CONFIG_SETTING_TREE_PLACER_HELPTEXT_EXTRA                   :{STRING}，“完善”改良了树木的生长和扩散

STR_FINANCES_SECTION_INFRASTRUCTURE_COSTS                       :{GOLD}基建共享
STR_FINANCES_SECTION_INFRASTRUCTURE_INCOME                      :{GOLD}基建共享

STR_CONFIG_SETTING_DISTRIBUTION_ASYMMETRIC_EQ                   :不对称（平均分配）
STR_CONFIG_SETTING_DISTRIBUTION_ASYMMETRIC_NEAREST              :不对称（最近距离）

STR_CONFIG_SETTING_ZOOM_LVL_OUT_16X                             :16 倍
STR_CONFIG_SETTING_ZOOM_LVL_OUT_32X                             :32 倍
STR_CONFIG_SETTING_ZOOM_LVL_OUT_64X                             :64 倍
STR_CONFIG_SETTING_ZOOM_LVL_OUT_128X                            :128 倍

STR_CONFIG_SETTING_DEFAULT_ROAD_TYPE_DEFAULT                    :默认

STR_ORDER_CONDITIONAL_CARGO_WAITING                             :等待货物
STR_ORDER_CONDITIONAL_ACCEPTANCE_DROPDOWN                       :接受货物
STR_ORDER_CONDITIONAL_FREE_PLATFORMS                            :未占用站台
STR_ORDER_CONDITIONAL_PERCENT                                   :概率
STR_ORDER_CONDITIONAL_SLOT_OCCUPANCY                            :槽位占用
STR_ORDER_CONDITIONAL_TRAIN_IN_SLOT                             :槽位内列车
STR_ORDER_CONDITIONAL_CARGO_LOAD_PERCENTAGE                     :货物装载百分比
STR_ORDER_CONDITIONAL_CARGO_WAITING_AMOUNT                      :等待货物总量
STR_ORDER_CONDITIONAL_COUNTER_VALUE                             :计数器值
STR_ORDER_CONDITIONAL_TIME_DATE_VALUE                           :当前时间/日期
STR_ORDER_CONDITIONAL_TIMETABLE_STATE                           :时刻表状态
STR_ORDER_CONDITIONAL_DISPATCH_SLOT                             :调度槽位

STR_ORDER_STOP_LOCATION_THROUGH                                 :[通过式装载]

STR_CONFIG_SETTING_TOWN_GROWTH_EXTREME_SLOW                     :极慢
STR_CONFIG_SETTING_TOWN_GROWTH_VERY_SLOW                        :很慢

STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_EVERY_MINUTES_CUSTOM         :每 {COMMA} 分钟

STR_RIVERS_VERY_MANY                                            :{RED}很多
STR_RIVERS_EXTREMELY_MANY                                       :{RED}极多

STR_CONFIG_SETTING_BRIBE_HELPTEXT_PERIODS                       :允许公司尝试贿赂当地的城镇管理机构。如果贿赂被检察机关发现，公司将无法在该镇活动半周期。

STR_CONFIG_SETTING_ALLOW_EXCLUSIVE_HELPTEXT_PERIODS             :如果一家公司购买了一个城镇的独家运输权，对手的车站（乘客和货物）将在一个周期内无法收到任何货物。

STR_COMMA_SEPARATOR                                             :,{SP}

STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :英里/小时
STR_UNIT_NAME_VELOCITY_METRIC                                   :千米/小时
STR_UNIT_NAME_VELOCITY_SI                                       :米/秒
STR_UNIT_NAME_VELOCITY_GAMEUNITS                                :格/日
STR_UNIT_NAME_VELOCITY_GAMEUNITS_WALLCLOCK                      :格/秒

STR_UNITS_SECONDS_SHORT                                         :{COMMA}{NBSP}秒
STR_UNITS_PRODUCTION_INTERVALS                                  :{NUM}{NBSP}生产周期

STR_BUTTON_RENAME                                               :{BLACK}重命名

STR_MEASURE_DIST_HEIGHTDIFF                                     :{BLACK}曼哈顿距离：{NUM}{}直线距离：{NUM}{}最近边距离：{NUM}{}海平面高度：{HEIGHT}{}高度差：{HEIGHT}

STR_SORT_BY_PROFIT_LIFETIME                                     :总利润
STR_SORT_BY_AVG_ORDER_OCCUPANCY                                 :平均运载率
STR_SORT_BY_MAX_SPEED_LOADED                                    :满载最高速度
STR_SORT_BY_VEHICLES_CALLING                                    :车次调度总数
STR_SORT_BY_CARGO_CAPACITY_VS_RUNNING_COST                      :货物容量/运行费用
STR_SORT_BY_VEHICLE_COUNT                                       :总车厢数

STR_SETTINGS_MENU_ZONING                                        :分区

STR_SETTINGS_MENU_MONEY_TEXT_EFFECTS                            :显示收入/支出文本
STR_SETTINGS_MENU_SHOW_HIDDEN_SIGNS                             :隐藏所显示的标志名

STR_MAP_MENU_PLAN_LIST                                          :计划列表

STR_VEHICLE_TYPE_TRAINS                                         :列车
STR_VEHICLE_TYPE_ROAD_VEHICLES                                  :汽车
STR_VEHICLE_TYPE_SHIPS                                          :船舶
STR_VEHICLE_TYPE_AIRCRAFT                                       :飞机

STR_GRAPH_CARGO_PAYMENT_RATES_X_LABEL_SPEED                     :{TINY_FONT}{BLACK}平均运输时间（{STRING}）
