STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :ไมล์/ชม.
STR_UNIT_NAME_VELOCITY_METRIC                                   :กม./ชม.
STR_UNIT_NAME_VELOCITY_SI                                       :ม./วิ.

STR_BUTTON_RENAME                                               :{BLACK}เปลี่ยนชื่อ

STR_VEHICLE_TYPE_TRAINS                                         :รถไฟ
STR_VEHICLE_TYPE_ROAD_VEHICLES                                  :รถยนต์
STR_VEHICLE_TYPE_SHIPS                                          :เรือ
STR_VEHICLE_TYPE_AIRCRAFT                                       :อากาศยาน

# Tracerestrict GUI

# Programmable Pre-Signals

#House construction window (for SE only)

#Town select window (for SE only)

STR_MAPGEN_SNOW_LINE_HEIGHT                                     :{BLACK}เส้นความสูงเขตหิมะ:
STR_MAPGEN_SNOW_LINE_UP                                         :{BLACK}ปรับเปลี่ยนความสูงของหิมะขึ้นไป 1 ระดับ
STR_MAPGEN_SNOW_LINE_DOWN                                       :{BLACK}ปรับเปลี่ยนความสูงของหิมะลงมา 1 ระดับ
STR_MAPGEN_SNOW_LINE_QUERY_CAPT                                 :{WHITE}ปรับเปลี่ยนความสูงของระดับหิมะ

# Town tooltip

STR_PURCHASE_INFO_DESIGNED                                      :{BLACK}สร้างครั้งแรก: {GOLD}{NUM}

# Cargo type orders Window

# Plans window

# Clear area query

# Plan related errors

STR_TRADITIONAL_TRAIN_NAME                                      :รถไฟ {COMMA}
STR_TRADITIONAL_ROAD_VEHICLE_NAME                               :พาหนะทางบก {COMMA}
STR_TRADITIONAL_SHIP_NAME                                       :พาหนะทางน้ำ {COMMA}
STR_TRADITIONAL_AIRCRAFT_NAME                                   :อากาศยาน {COMMA}

# Scheduled Dispatch

# Modifier key toggle window
