STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :完善

STR_CONFIG_SETTING_TREE_PLACER_HELPTEXT_EXTRA                   :{STRING}，「完善」改良了樹木的生長和擴散

STR_FINANCES_SECTION_INFRASTRUCTURE_COSTS                       :{GOLD}基建共享
STR_FINANCES_SECTION_INFRASTRUCTURE_INCOME                      :{GOLD}基建共享

STR_CONFIG_SETTING_DISTRIBUTION_ASYMMETRIC_EQ                   :不對稱（平均分配）
STR_CONFIG_SETTING_DISTRIBUTION_ASYMMETRIC_NEAREST              :不對稱（最近距離）

STR_CONFIG_SETTING_ZOOM_LVL_OUT_16X                             :16 倍
STR_CONFIG_SETTING_ZOOM_LVL_OUT_32X                             :32 倍
STR_CONFIG_SETTING_ZOOM_LVL_OUT_64X                             :64 倍
STR_CONFIG_SETTING_ZOOM_LVL_OUT_128X                            :128 倍

STR_CONFIG_SETTING_DEFAULT_ROAD_TYPE_DEFAULT                    :預設

STR_ORDER_CONDITIONAL_CARGO_WAITING                             :等待貨物
STR_ORDER_CONDITIONAL_ACCEPTANCE_DROPDOWN                       :接受貨物
STR_ORDER_CONDITIONAL_FREE_PLATFORMS                            :未使用月台
STR_ORDER_CONDITIONAL_PERCENT                                   :概率
STR_ORDER_CONDITIONAL_SLOT_OCCUPANCY                            :停泊位置使用
STR_ORDER_CONDITIONAL_TRAIN_IN_SLOT                             :停泊位置內列車
STR_ORDER_CONDITIONAL_CARGO_LOAD_PERCENTAGE                     :貨物裝載百分比
STR_ORDER_CONDITIONAL_CARGO_WAITING_AMOUNT                      :等待貨物總量
STR_ORDER_CONDITIONAL_COUNTER_VALUE                             :計數器值
STR_ORDER_CONDITIONAL_TIME_DATE_VALUE                           :當前時間/日期
STR_ORDER_CONDITIONAL_TIMETABLE_STATE                           :時刻表狀態
STR_ORDER_CONDITIONAL_DISPATCH_SLOT                             :停泊位置調度
STR_ORDER_CONDITIONAL_CARGO_WAITING_AMOUNT_PERCENTAGE           :等待中貨物 / 容量

STR_ORDER_STOP_LOCATION_THROUGH                                 :[通過式裝載]

STR_CONFIG_SETTING_TOWN_GROWTH_EXTREME_SLOW                     :極慢
STR_CONFIG_SETTING_TOWN_GROWTH_VERY_SLOW                        :很慢

STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_EVERY_MINUTES_CUSTOM         :每 {COMMA} 分鐘

STR_RIVERS_VERY_MANY                                            :{RED}很多
STR_RIVERS_EXTREMELY_MANY                                       :{RED}極多

STR_CONFIG_SETTING_BRIBE_HELPTEXT_PERIODS                       :容許公司嘗試賄賂地方政府。如果賄賂被調查員揭發，公司在往後半週期內無法接觸有關地方政府。

STR_COMMA_SEPARATOR                                             :,{SP}

STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :英里/小時
STR_UNIT_NAME_VELOCITY_METRIC                                   :千米/小時
STR_UNIT_NAME_VELOCITY_SI                                       :米/秒
STR_UNIT_NAME_VELOCITY_GAMEUNITS                                :格/日
STR_UNIT_NAME_VELOCITY_GAMEUNITS_WALLCLOCK                      :格/秒

STR_UNITS_SECONDS_SHORT                                         :{COMMA}{NBSP}秒
